transaction_id,account_id,amount,date,name,merchant_name,category,pending,payment_channel,transaction_type,location,created_at,updated_at
nlblyzdqAWu84LWaKBpVF7A7JkZ7gpTZQRWvR,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,78.50,2025-10-14,Touchstone Climbing,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
P3j3K5VP7GF3a6eW5rR8TNJN5G6NLPF8AaZpe,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,-500.00,2025-10-14,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
pKlKq34rAGCkAobXz95NIKeKLv4Kg5hbzG3AL,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,89.40,2025-09-12,SparkFun,FUN,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
5eJedg8W5qtAnBJDE1GKIWeWQJEWzBsb8l7Nb,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,-4.22,2025-09-11,INTRST PYMNT,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
pKlKq34rAGCkAobXz95NIKeKLv4Kg5hbzGVap,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-09-01,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
oqWqlBaKyAckmpLgrJNMIBWBZvlBgNC1bD7Ep,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-08-27,Tectra Inc,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
8MvMNkXnZzHr97Z1dQDahK6aWnnyBvSW3qnLM,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-25,KFC,KFC,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
gnNnE5qR71iNAjG7e1ogCZLw6nnBpmFE8WonK,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-25,Madison Bicycle Shop,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
oqWqlBaKyAckmpLgrJNMIBWK166yENfoqEj8L,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-26,Tectra Inc,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Emnm85Xq3ZCGABJ15Z6psgnXeWWPNqS4xbykb,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,2078.50,2025-10-25,AUTOMATIC PAYMENT - THANK,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
9151PAXb6BfAgxRbaEKpIPDPNR9Pvkikg1Qjz,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-09-25,KFC,KFC,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
yNDN4e1PrBiBnbWejZKMcpRprv6pqKiowmXx1,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-09-25,Madison Bicycle Shop,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
oqWqlBaKyAckmpLgrJNMIBWBZvlBgNC1bD8Wo,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,6.33,2025-08-30,Uber 072515 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
8MvMNkXnZzHr97Z1dQDahK6KwZEKpvhg86Lqr,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-08-26,KFC,KFC,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
gnNnE5qR71iNAjG7e1ogCZLZRj1ZzmuP5BnW4,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-08-26,Madison Bicycle Shop,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
ZQpQP5RoB3IQvlE6KJBMUKn3bzzZJgSeq43Vk,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,25.00,2025-11-15,CREDIT CARD 3333 PAYMENT *//,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
NzMzl5X4PWczx9ny5gdmFydeDppGw4iy693m7,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,5.40,2025-11-15,Uber 063015 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Wjpja5n1krt6QZJV5ep3swLR5GGbZ1h6ZgR1D,Wjpja5n1krt6QZJV5ep3swLo7VKKDdC6Zeoav,5850.00,2025-11-14,ACH Electronic CreditGUSTO PAY 123456,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
1NLNz18oWnioL5lEqPxnHpn8BWWwLrCpjBzln,8MvMNkXnZzHr97Z1dQDahK619kbbleiW3DvEK,1000.00,2025-11-14,CD DEPOSIT .INITIAL.,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
pKlKq34rAGCkAobXz95NIKejmVVnW5Spoaw3P,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-31,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Qx7xr5yjZntxvBgR5GVyTPw1dxxy7juwmv1ER,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,6.33,2025-10-29,Uber 072515 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Db4bg5XlBQfbeoXz5aGRI161DzZ19lH7JDa6E,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,25.00,2025-10-16,CREDIT CARD 3333 PAYMENT *//,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
NzMzl5X4PWczx9ny5gdmFydy5mByV4HoQdmP3,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,5.40,2025-10-16,Uber 063015 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
x4R4a7MNKzuzJbx8PQDAFXPXWkoXGDCkejVvy,Wjpja5n1krt6QZJV5ep3swLo7VKKDdC6Zeoav,5850.00,2025-10-15,ACH Electronic CreditGUSTO PAY 123456,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
k9p9nqBVAgCMxVGP1ba7TLqLAKpLg4iqondNa,8MvMNkXnZzHr97Z1dQDahK619kbbleiW3DvEK,1000.00,2025-10-15,CD DEPOSIT .INITIAL.,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
jykyGlzD7oC7eQdwA3WJHwXwmqawJWixadqrM,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,12.00,2025-10-13,McDonald's,McDonald's,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': '3322'}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
7ZLZ4EkGXrCAgK5DENJWI7N785q73xT6xPL7Q,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,4.33,2025-10-13,Starbucks,Starbucks,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
eAyAg5n9wZIPJNnZjbEKuKAKqNJKVXhJmQ1oQ,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,89.40,2025-10-12,SparkFun,FUN,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
VPwPd5JMqKcPe3wV5Nr9uznz8o4zgMioE1PKn,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,-4.22,2025-10-11,INTRST PYMNT,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
bkwkLJnby7uQAdWN4Mq6U9B93dP9JzIE7jZ8e,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-01,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Qx7xr5yjZntxvBgR5GVyTPwPDEgP6jiZDXEqV,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,6.33,2025-09-29,Uber 072515 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
mRaRmkxlAEC6a1VJq5W3sK7Kjz3KxWh9XNd6l,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-09-26,Tectra Inc,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
waxadjZ4qrty1nxJV6q4hyxy37Qy8nH3mwoWL,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,25.00,2025-09-16,CREDIT CARD 3333 PAYMENT *//,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
ZQpQP5RoB3IQvlE6KJBMUKnKpl6KwghPGpVdv,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,5.40,2025-09-16,Uber 063015 SF**POOL**,Uber,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
LKQKm5XdP8CKBxZz5R7vUNBXPKKx5dFkjw7GV,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,78.50,2025-11-13,Touchstone Climbing,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
P3j3K5VP7GF3a6eW5rR8TNJ1jppxgPFo6g1ZJ,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,-500.00,2025-11-13,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
jykyGlzD7oC7eQdwA3WJHwX6PAAkDWh6WDEqx,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,12.00,2025-11-12,McDonald's,McDonald's,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': '3322'}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
7ZLZ4EkGXrCAgK5DENJWI7NMRBBGyxCdJeZLw,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,4.33,2025-11-12,Starbucks,Starbucks,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
eAyAg5n9wZIPJNnZjbEKuKAPD55oZXSr9pg1P,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,89.40,2025-11-11,SparkFun,FUN,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
MrRry5XaPkCr3VkQ5j8xhqoLNppEraHL6qKVw,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,-4.22,2025-11-10,INTRST PYMNT,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
vd3dxPQalKcKeGAM4DWZU4X43jK4vWFg1mkro,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,2078.50,2025-09-25,AUTOMATIC PAYMENT - THANK,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
dWNWo5byZQFln4EZWpBqtgZgw4dgzPhlRKQeD,Wjpja5n1krt6QZJV5ep3swLo7VKKDdC6Zeoav,5850.00,2025-09-15,ACH Electronic CreditGUSTO PAY 123456,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
lvJvbK3wA8iDdMxal51NFzAzm6Lze1inRQdj6,8MvMNkXnZzHr97Z1dQDahK619kbbleiW3DvEK,1000.00,2025-09-15,CD DEPOSIT .INITIAL.,,,False,other,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
LKQKm5XdP8CKBxZz5R7vUNBNg3LNldFqEMpwP,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,78.50,2025-09-14,Touchstone Climbing,,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
MrRry5XaPkCr3VkQ5j8xhqoq8b7qQatN1vVdA,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,-500.00,2025-09-14,United Airlines,United Airlines,,False,in store,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
Emnm85Xq3ZCGABJ15Z6psgng57LgEqhrm7kbV,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,2078.50,2025-08-26,AUTOMATIC PAYMENT - THANK,,,False,online,special,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
1NLNz18oWnioL5lEqPxnHpnpglNpRriNrRlAb,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,12.00,2025-09-13,McDonald's,McDonald's,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': '3322'}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
LKQKm5XdP8CKBxZz5R7vUNBNg3LNldFqEMGVL,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,4.33,2025-09-13,Starbucks,Starbucks,,False,in store,place,"{'lat': None, 'lon': None, 'city': None, 'region': None, 'address': None, 'country': None, 'postal_code': None, 'store_number': None}",2025-11-22 23:01:04.443245,2025-11-22 23:01:04.443245
